,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.wait,timings.ssl,timings.send,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T17:25:45.257+03:00,GET,https://sleepyti.me/,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,630,4495,,,1,223,1691,9,1739,16,0,104.154.63.26,,1989,
1,,2019-10-09T17:25:45.551+03:00,GET,https://sleepyti.me/app/css/normalize.css,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,text/css,,,474,2623,,,-1,205,-1,2,-1,1,-1,104.154.63.26,,209,
2,,2019-10-09T17:25:45.770+03:00,GET,https://sleepyti.me/app/css/skeleton.css,HTTP/1.1,368,0,,200,OK,HTTP/1.1,0,text/css,,,474,2773,,,-1,202,-1,1,-1,0,-1,104.154.63.26,,203,
3,,2019-10-09T17:25:45.924+03:00,GET,https://sleepyti.me/wp-content/uploads/2019/09/home-logo-sleepy-time.png,HTTP/1.1,421,0,,200,OK,HTTP/1.1,0,image/png,,,423,8263,,,0,203,329,1,356,0,0,104.154.63.26,,562,
4,,2019-10-09T17:25:47.651+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,619,33576,,,38,114,2024,0,2054,77,0,216.58.210.10,,2285,
5,,2019-10-09T17:25:48.474+03:00,GET,"https://fonts.googleapis.com/css?family=Raleway:400,300,600",HTTP/1.1,386,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,385,,,1,111,2883,0,2920,5,0,172.217.23.138,,3039,value
6,,2019-10-09T17:25:48.500+03:00,GET,"https://fonts.googleapis.com/css?family=Open+Sans:400,400italic,300,600",HTTP/1.1,398,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,690,,,1,100,2907,0,2946,4,0,172.217.23.138,,3053,value
7,,2019-10-09T17:25:48.501+03:00,GET,https://fonts.googleapis.com/css?family=Open+Sans,HTTP/1.1,345,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,472,,,0,98,2908,0,2942,3,0,172.217.23.138,,3045,value
8,,2019-10-09T17:25:48.657+03:00,GET,https://fonts.googleapis.com/css?family=Bree+Serif,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,323,,,-1,107,-1,0,-1,0,-1,172.217.23.138,,109,value
9,,2019-10-09T17:25:49.955+03:00,GET,https://www.googletagmanager.com/gtm.js?id=GTM-M2XBJ29,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,624,19983,,,0,108,1256,0,1298,50,0,216.58.207.72,,1459,value
10,,2019-10-09T17:25:51.548+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptug8zYS_SKggPNyC0ITw.woff2,HTTP/1.1,445,0,,200,OK,HTTP/1.1,0,font/woff2,,,520,20724,,,26,120,2749,1,2786,46,0,172.217.21.227,,2982,
11,,2019-10-09T17:25:51.549+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptrg8zYS_SKggPNwIYqWqZPAA.woff2,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,font/woff2,,,519,20808,,,27,115,2758,1,2787,46,0,172.217.21.227,,2977,
12,,2019-10-09T17:25:51.551+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptrg8zYS_SKggPNwPIsWqZPAA.woff2,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,20872,,,26,113,2759,1,2789,47,0,172.217.21.227,,2978,
13,,2019-10-09T17:25:53.498+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,text/javascript,,,540,17803,,,0,100,3337,0,3364,30,0,216.58.206.14,,3496,
14,,2019-10-09T17:25:53.709+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=1220210053&t=pageview&_s=1&dl=https%3A%2F%2Fsleepyti.me%2F&ul=en-us&de=UTF-8&dt=sleepyti.me%20bedtime%20calculator&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=YEBAAEAB~&jid=439712432&gjid=790969851&cid=19005142.1570631154&tid=UA-146934170-1&_gid=190470207.1570631154&_r=1&gtm=2wga20M2XBJ29&z=1098351093,HTTP/1.1,702,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,-1,105,-1,1,-1,1,-1,216.58.206.14,,108,value
