,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.dns,timings.wait,timings.send,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,response._error
0,,2019-10-11T19:10:01.263+03:00,GET,https://www.linkedin.com/,HTTP/1.1,466,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,2491,8563,,,2786,44,271,2,0,2822,24,108.174.11.1,,3166,
1,,2019-10-11T19:10:04.212+03:00,GET,https://static-exp1.licdn.com/sc/h/3j6zm0c1mstkwjrb91ltlxbh5,HTTP/1.1,392,0,,200,OK,HTTP/1.1,0,text/css,,,767,14780,,,2549,33,297,1,0,2579,0,212.55.190.51,,2912,
2,,2019-10-11T19:10:04.212+03:00,GET,https://static-exp1.licdn.com/sc/h/eziq3qqkuwxrtru4bng5hejve,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/javascript,,,774,22839,,,2541,31,242,1,0,2579,9,212.55.190.51,,2864,
3,,2019-10-11T19:10:04.227+03:00,GET,https://static-exp1.licdn.com/sc/h/ddho7et5nifmzos8a28j4jg6j,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/javascript,,,804,13167,,,2564,31,488,0,0,2594,0,212.55.190.51,,3115,
4,,2019-10-11T19:10:04.534+03:00,GET,https://static-exp1.licdn.com/sc/h/dwbhts1flzdnzba22yn8887io,HTTP/1.1,448,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,665,349,,,-1,-1,79,0,-1,-1,1,212.55.190.51,,82,
5,,2019-10-11T19:10:04.865+03:00,GET,https://static-exp1.licdn.com/sc/h/1fyj4hwfi29ai78rqj069u65r,HTTP/1.1,448,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,0,-1,-1,0,212.55.190.51,,0,No response received
6,,2019-10-11T19:10:04.867+03:00,GET,https://static-exp1.licdn.com/sc/h/44ge8ey0omn5oqp0k388nhe7g,HTTP/1.1,448,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,665,202,,,-1,-1,47,0,-1,-1,0,212.55.190.51,,49,
7,,2019-10-11T19:10:04.868+03:00,GET,https://static-exp1.licdn.com/sc/h/3z4gbn751g6l5onl9gg9s5ckg,HTTP/1.1,448,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,665,315,,,-1,-1,47,0,-1,-1,0,212.55.190.51,,48,
8,,2019-10-11T19:10:04.901+03:00,GET,https://www.linkedin.com/litms/api/metadata/user,HTTP/1.1,669,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,0,-1,-1,0,108.174.11.1,,0,No response received
9,,2019-10-11T19:10:04.928+03:00,GET,https://static-exp1.licdn.com/sc/h/1hbr6t0oqhf2avswaaruivxtl,HTTP/1.1,413,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,0,-1,-1,0,212.55.190.51,,0,No response received
